time_seconds,O0,voltage_raw,voltage_V,current1_raw,current1_A,current2_raw,current2_A,event_code,event_description
0.0,O0,4010,172.44018,4010,5.95485,52,-5.80041,0,
6.499837504062398e-05,O0,4010,172.44018,4010,5.95485,156,-5.49153,0,
0.0001299967500812,O0,4010,172.44018,4010,5.95485,254,-5.20047,0,
0.0001949951251218,O0,4010,172.44018,4010,5.95485,356,-4.89753,0,
0.0002599935001624,O0,4010,172.44018,4010,5.95485,454,-4.60647,0,
0.0003249918752031,O0,4010,172.44018,4010,5.95485,554,-4.30947,0,
0.0003899902502437,O0,4010,172.44018,4010,5.95485,654,-4.01247,0,
0.0004549886252843,O0,4010,172.44018,4010,5.95485,752,-3.72141,0,
0.0005199870003249,O0,4010,172.44018,4010,5.95485,850,-3.43035,0,
0.0005849853753656,O0,4010,172.44018,4010,5.95485,948,-3.13929,0,
0.0006499837504062,O0,4010,172.44018,4010,5.95485,1046,-2.84823,0,
0.0007149821254468,O0,4010,172.44018,4010,5.95485,1142,-2.56311,0,
0.0007799805004874,O0,4010,172.44018,4010,5.95485,1238,-2.27799,0,
0.0008449788755281,O0,4010,172.44018,4010,5.95485,1334,-1.99287,0,
0.0009099772505687,O0,4010,172.44018,4010,5.95485,1428,-1.71369,0,
0.0009749756256093,O0,4010,172.44018,4010,5.95485,1522,-1.43451,0,
0.0010399740006499,O0,4010,172.44018,4010,5.95485,1614,-1.16127,0,
0.0011049723756906,O0,4010,172.44018,4010,5.95485,1706,-0.88803,0,
0.0011699707507312,O0,4010,172.44018,4010,5.95485,1798,-0.61479,0,
0.0012349691257718,O0,4010,172.44018,4010,5.95485,1886,-0.35343,0,
0.0012999675008124,O0,4010,172.44018,4010,5.95485,1976,-0.08613,0,
0.0013649658758531,O0,4010,172.44018,4010,5.95485,2062,0.16929,0,
0.0014299642508937,O0,4010,172.44018,4010,5.95485,2148,0.42471,0,
0.0014949626259343,O0,4010,172.44018,4010,5.95485,2234,0.68013,0,
0.0015599610009749,O0,4010,172.44018,4010,5.95485,2318,0.92961,0,
0.0016249593760155,O0,4010,172.44018,4010,5.95485,2400,1.17315,0,
0.0016899577510562,O0,4010,172.44018,4010,5.95485,2480,1.41075,0,
0.0017549561260968,O0,4010,172.44018,4010,5.95485,2558,1.64241,0,
0.0018199545011374,O0,4010,172.44018,4010,5.95485,2636,1.87407,0,
0.001884952876178,O0,4010,172.44018,4010,5.95485,2712,2.09979,0,
0.0019499512512187,O0,4012,172.61596,4012,5.96079,2786,2.31957,0,
0.0020149496262593,O0,4012,172.61596,4012,5.96079,2860,2.53935,0,
